,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
"b'\x13\x90ZA\x90\xc52\xf4c/\xe6""\xce\x18\xa3\'\x82\'\xa0@\xb0\xd6d\x81\xc30\x8cJ \x918\xfa'",Aerospace Club,African Caribbean Student Club,Age Link,Amnesty International UBCO,Asian Student Association,Astronomy Club,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bible Discussion Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Christina Noble Foundation UBCO,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Enactus UBCO,Esports Association,Formula 1 Club,French Club,Games Club,Girls in Tech,Global Brigades Club,Golden Key International Honour Society,Golf Club,Grow n Glow Club,Heatwave Radio,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,International Relations Student Association,iSoto (Indonesian Students of the Okanagan),It's Lit! Club,Japanese Culture Club,Kelowna Ismaili Student Association,Latin American Student Organization,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Photography Association,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Relay for Life Club,Rock N Roll Club,Sex Positivity Club,Sisu UBCO,South East Asian Club,Sport Programming Club,StockX Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Vegan Club,Video Game Development Club,Web Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Women in Engineering,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Computer Science Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Accounting Club,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Bhangra Club,Filipino Student Association,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,Persian Students' Club,South Asian Students Association,Varsity Outdoor Club Okanagan,Nursing Course Union,Visual Arts Course Union
b'\xa5\x0f\x03y\xd8\x15\x9d\xe4e\xe7\x8e\xa8(5\x03i\xed6\xd6_\xbb\x05\x18\xef-PY\xd0\xe3\x0c6\xd9',Amnesty International UBCO,Blood Club of UBCO,Horror Movie Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Japanese Culture Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Photography Association,Pink Backpack Club,Power to Change,Sisu UBCO,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Yoga Club,Engineering Society at UBC,Microbiology Course Union,Quantitative Sciences Course Union,Ballroom Dance Club,Concrete Toboggan Club (GNCTR),Design Club,Formula 1 Club,Golden Key International Honour Society,Golf Club,Hope Club UBCO,Ice Cream Club,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,JDC West,MySmallHelp UBCO,Nourishing Futures,Punjabi Student Association,South East Asian Club,Young Greens of UBCO,Chemistry Course Union (CCU),Management Student Association - Accounting Club,"Philosophy, Politics, and Economics (PPE) Course Union",Visual Arts Course Union,Aerospace Club,Badminton Club,Bangladeshi Students (ABS),Billiards Club,Debate Society,Filipino Student Association,Hong Kong Student Club,Latin American Student Organization,Model United Nations Club,Pakistan Students Association,Rock N Roll Club,Sport Programming Club,Thai Erawan Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Biochemistry Course Union,Computer Science Course Union,Earth and Environmental Sciences Course Union,Human Kinetics Student Association,Social Work Course Union,African Caribbean Student Club,Age Link,Beats,Bible Discussion Club,Games Club,Global Brigades Club,It's Lit! Club,Mountain Riders Club,Muslim Students Association,NDP Club,Pre-Law Society,Sex Positivity Club,Web Development Club,Women in Engineering,Environmental Chemistry Course Union,Geography Course Union,Backcountry Hunters & Anglers,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Girls in Tech,Heatwave Radio,Kelowna Ismaili Student Association,Nepalese Scholars' Association,Pre-Dental Society,Pre-Med Club,Relay for Life Club,South Asian Students Association,StockX Club,Management Student Association (MSA),Management Student Association - Marketing Club,Psychology Course Union,Medieval Club,Vegan Club,Management Student Association - Entrepreneur Club,Astronomy Club,Cricket Club,Esports Association,Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Nursing Course Union,BC Young Liberals,Bhangra Club,Christina Noble Foundation UBCO,French Club,Grow n Glow Club,International Relations Student Association,Persian Students' Club,Student Independent Research Club,Varsity Outdoor Club Okanagan,Enactus UBCO,Students for Healthy Alternatives and Risk Prevention (SHARP),Asian Student Association
b'\xc7\xde\xdf4\x89\x8f\x93\xee\xc3\xde\xc2\xa5`\xa6\x07@\xe0\xb7\xe0\xdbT\x98\xb6\xf4%\x9c\t\x95\xb3\x9bk\x0c',Bangladeshi Students (ABS),Billiards Club,Blood Club of UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Mental Health Awareness and Advocacy Club (MHAAC),Power to Change,Punjabi Student Association,UNICEF,University Christian Ministries,Video Game Development Club,Biochemistry Course Union,Engineering Society at UBC,Microbiology Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,Age Link,Amnesty International UBCO,Badminton Club,Formula 1 Club,Hope Club UBCO,Pink Backpack Club,Pre-Law Society,Sisu UBCO,Sport Programming Club,Urban Dance Club,Chemistry Course Union (CCU),Earth and Environmental Sciences Course Union,Geography Course Union,Management Student Association - Accounting Club,African Caribbean Student Club,Ballroom Dance Club,Bible Discussion Club,Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Design Club,Filipino Student Association,Golden Key International Honour Society,Golf Club,Grow n Glow Club,It's Lit! Club,Model United Nations Club,Motorsports Club,MySmallHelp UBCO,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Photography Association,Relay for Life Club,Sex Positivity Club,South Asian Students Association,Vegan Club,Women in Engineering,Yoga Club,Environmental Chemistry Course Union,Backcountry Hunters & Anglers,Beats,Debate Society,Heatwave Radio,Pakistan Students Association,South East Asian Club,Thai Erawan Club,Wildlife Society UBCO Student Chapter,Young Greens of UBCO,Human Kinetics Student Association,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Canadian Students for Sensible Drug Policy (CSSDP),Enactus UBCO,French Club,Hong Kong Student Club,Kelowna Ismaili Student Association,Medieval Club,Mountain Riders Club,Persian Students' Club,Pre-Dental Society,Rock N Roll Club,StockX Club,Web Development Club,Computer Science Course Union,Management Student Association - Entrepreneur Club,Psychology Course Union,Asian Student Association,Astronomy Club,Bhangra Club,Esports Association,Latin American Student Organization,Pre-Med Club,Varsity Outdoor Club Okanagan,Weightlifting Club UBCO,Management Student Association - Consulting Club,BC Young Liberals,Cricket Club,Girls in Tech,Global Brigades Club,International Relations Student Association,Muslim Students Association,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Management Student Association (MSA),Management Student Association - Marketing Club,Nursing Course Union,Christina Noble Foundation UBCO,Management Student Association - Human Resources Club,Games Club
b'\xf2\xb6\x0c\xb2\xf4!G\xc9q\x9c\xc86\x9f\xc9S\xc2\x1d\xe9\xf2\x902\xfc\x0c\x92W\xcc\x13h\xd8\xaa\xb9\xea',Amnesty International UBCO,Badminton Club,Blood Club of UBCO,Golf Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Medieval Club,Photography Association,Power to Change,Punjabi Student Association,South East Asian Club,Students for Healthy Alternatives and Risk Prevention (SHARP),UNICEF,Urban Dance Club,Video Game Development Club,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Microbiology Course Union,Aerospace Club,African Caribbean Student Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Design Club,Filipino Student Association,Formula 1 Club,Global Brigades Club,Hong Kong Student Club,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Mountain Riders Club,Relay for Life Club,Sex Positivity Club,Sisu UBCO,University Christian Ministries,Web Development Club,Yoga Club,Biochemistry Course Union,Chemistry Course Union (CCU),Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Age Link,Asian Student Association,Ballroom Dance Club,Bangladeshi Students (ABS),BC Young Liberals,Beats,Bible Discussion Club,Billiards Club,Enactus UBCO,Hope Club UBCO,International Relations Student Association,It's Lit! Club,Kelowna Ismaili Student Association,NDP Club,Nepalese Scholars' Association,Nourishing Futures,Pink Backpack Club,Pre-Dental Society,Pre-Law Society,Sport Programming Club,Vegan Club,Computer Science Course Union,Human Kinetics Student Association,Management Student Association - Human Resources Club,Management Student Association - Marketing Club,Psychology Course Union,Backcountry Hunters & Anglers,French Club,Girls in Tech,Grow n Glow Club,Latin American Student Organization,Model United Nations Club,Pakistan Students Association,Persian Students' Club,Rock N Roll Club,Women in Engineering,Young Greens of UBCO,Earth and Environmental Sciences Course Union,Management Student Association (MSA),Golden Key International Honour Society,Muslim Students Association,MySmallHelp UBCO,Pre-Med Club,Thai Erawan Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Management Student Association - Consulting Club,Cricket Club,Games Club,Heatwave Radio,South Asian Students Association,StockX Club,Student Independent Research Club,Bhangra Club,Debate Society,Astronomy Club,Varsity Outdoor Club Okanagan,Nursing Course Union,Christina Noble Foundation UBCO,Esports Association
b'\xf9?rn#\xc2\xe9\xba\xbd\xc2*\x95\xa4\xd2\xc1\xea\xb2\xeb\x11\xf7\x10\xfc\x8ah\x07\xf9\xc6\x9e\xbbi\xd5s',Amnesty International UBCO,Badminton Club,Ballroom Dance Club,Chinese Students and Scholars Association,Filipino Student Association,Formula 1 Club,Global Brigades Club,Golf Club,Horror Movie Club,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,JDC West,Medieval Club,Motorsports Club,Mountain Riders Club,Nepalese Scholars' Association,Photography Association,Students for Healthy Alternatives and Risk Prevention (SHARP),UNICEF,Video Game Development Club,Yoga Club,Chemistry Course Union (CCU),Engineering Society at UBC,Geography Course Union,Microbiology Course Union,Psychology Course Union,Social Work Course Union,Visual Arts Course Union,Aerospace Club,African Caribbean Student Club,Beats,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Debate Society,Hope Club UBCO,Ice Cream Club,Indian Culture and Dance Club,MySmallHelp UBCO,Power to Change,Pre-Dental Society,Pre-Med Club,Punjabi Student Association,South East Asian Club,Urban Dance Club,Computer Science Course Union,Environmental Chemistry Course Union,Human Kinetics Student Association,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Quantitative Sciences Course Union,Backcountry Hunters & Anglers,Bible Discussion Club,Billiards Club,Concrete Toboggan Club (GNCTR),Enactus UBCO,French Club,Hong Kong Student Club,iGEM UBCO,It's Lit! Club,Kelowna Ismaili Student Association,Mental Health Awareness and Advocacy Club (MHAAC),Muslim Students Association,NDP Club,Pink Backpack Club,Pre-Law Society,Relay for Life Club,Sisu UBCO,StockX Club,Web Development Club,Young Greens of UBCO,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Management Student Association (MSA),Management Student Association - Accounting Club,BC Young Liberals,Design Club,Golden Key International Honour Society,International Relations Student Association,Japanese Culture Club,Latin American Student Organization,Persian Students' Club,South Asian Students Association,Thai Erawan Club,University Christian Ministries,Wildlife Society UBCO Student Chapter,Management Student Association - Marketing Club,"Philosophy, Politics, and Economics (PPE) Course Union",Asian Student Association,Bangladeshi Students (ABS),Model United Nations Club,Nourishing Futures,Rock N Roll Club,Sex Positivity Club,Sport Programming Club,Vegan Club,Weightlifting Club UBCO,Women in Engineering,Management Student Association - Human Resources Club,Age Link,Bhangra Club,Games Club,Girls in Tech,Heatwave Radio,Varsity Outdoor Club Okanagan,Nursing Course Union,Grow n Glow Club,Student Independent Research Club,Astronomy Club,Christina Noble Foundation UBCO,Cricket Club,Pakistan Students Association,Esports Association
"b""\xfa\xfeWx\xb4\xbcggS\x92\xb0\xd0\xcd1\xaeKEt(\x0f\x9e'g\xf5\xee\x1b6\x9b\xdb\xe9\x8d\x99""",Aerospace Club,Age Link,Amnesty International UBCO,Billiards Club,Chinese Students and Scholars Association,Debate Society,Enactus UBCO,Formula 1 Club,French Club,Golden Key International Honour Society,Grow n Glow Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,Indian Culture and Dance Club,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Kelowna Ismaili Student Association,Mental Health Awareness and Advocacy Club (MHAAC),MySmallHelp UBCO,Nepalese Scholars' Association,Nourishing Futures,Persian Students' Club,Pink Backpack Club,Pre-Law Society,Punjabi Student Association,Relay for Life Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,UNICEF,University Christian Ministries,Vegan Club,Video Game Development Club,Women in Engineering,Biochemistry Course Union,Chemistry Course Union (CCU),Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Management Student Association - Entrepreneur Club,Microbiology Course Union,Social Work Course Union,Visual Arts Course Union,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Bangladeshi Students (ABS),Bhangra Club,Bible Discussion Club,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Design Club,Esports Association,Filipino Student Association,Golf Club,Hope Club UBCO,It's Lit! Club,Model United Nations Club,Motorsports Club,NDP Club,Photography Association,Power to Change,Pre-Dental Society,Pre-Med Club,Sport Programming Club,StockX Club,Student Independent Research Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,Urban Dance Club,Web Development Club,Wildlife Society UBCO Student Chapter,Yoga Club,Young Greens of UBCO,Earth and Environmental Sciences Course Union,Management Student Association - Accounting Club,Psychology Course Union,African Caribbean Student Club,Asian Student Association,Astronomy Club,BC Young Liberals,Beats,Canadian Students for Sensible Drug Policy (CSSDP),Christina Noble Foundation UBCO,Girls in Tech,Heatwave Radio,Hong Kong Student Club,Latin American Student Organization,Medieval Club,Mountain Riders Club,Muslim Students Association,Pakistan Students Association,South East Asian Club,Computer Science Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Marketing Club,Nursing Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Quantitative Sciences Course Union,Cricket Club,Global Brigades Club,International Relations Student Association,Rock N Roll Club,Varsity Outdoor Club Okanagan,Weightlifting Club UBCO,Management Student Association - Human Resources Club,Games Club
b'\xf6\x01\xa65\x00y\xf9\xae*\x9e\xa9\xbe\xe2|8\xd3\xac\xc4D\xee\xb6\xec\xa9\xfd\xfc\xdf\xfa\xdb\xd2.${',Badminton Club,Bangladeshi Students (ABS),Beats,Billiards Club,Blood Club of UBCO,Golden Key International Honour Society,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Medieval Club,Motorsports Club,Nepalese Scholars' Association,Photography Association,Power to Change,Punjabi Student Association,Sport Programming Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Yoga Club,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Engineering Society at UBC,Geography Course Union,Microbiology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Visual Arts Course Union,Age Link,Amnesty International UBCO,Concrete Toboggan Club (GNCTR),Enactus UBCO,French Club,Indian Culture and Dance Club,It's Lit! Club,Mental Health Awareness and Advocacy Club (MHAAC),NDP Club,Pakistan Students Association,Pink Backpack Club,Pre-Law Society,Relay for Life Club,Sex Positivity Club,Sisu UBCO,South Asian Students Association,Vegan Club,Women in Engineering,Young Greens of UBCO,Environmental Chemistry Course Union,Management Student Association - Accounting Club,"Philosophy, Politics, and Economics (PPE) Course Union",Aerospace Club,Asian Student Association,Ballroom Dance Club,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Design Club,Filipino Student Association,Formula 1 Club,Global Brigades Club,Golf Club,Grow n Glow Club,Hope Club UBCO,Mountain Riders Club,MySmallHelp UBCO,Persian Students' Club,South East Asian Club,Student Independent Research Club,Thai Erawan Club,Chemistry Course Union (CCU),Computer Science Course Union,Psychology Course Union,African Caribbean Student Club,Bible Discussion Club,Debate Society,Hong Kong Student Club,Latin American Student Organization,Model United Nations Club,Muslim Students Association,Rock N Roll Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Web Development Club,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Management Student Association - Consulting Club,Management Student Association - Entrepreneur Club,Astronomy Club,Esports Association,Games Club,Heatwave Radio,Kelowna Ismaili Student Association,Nourishing Futures,Pre-Dental Society,Human Kinetics Student Association,Nursing Course Union,Backcountry Hunters & Anglers,Bhangra Club,International Relations Student Association,Pre-Med Club,StockX Club,Management Student Association (MSA),Management Student Association - Marketing Club,BC Young Liberals,Girls in Tech,Varsity Outdoor Club Okanagan,Cricket Club,Management Student Association - Human Resources Club,Christina Noble Foundation UBCO
b'\x115\xacBY\xe8\x8bk4\xe9j\xc2\x8f\xaa\xa4\xc0\xc3\xbf*\xc6\x01Bo;\xffq\xedEA\x95\x92b',Aerospace Club,African Caribbean Student Club,Amnesty International UBCO,Astronomy Club,Backcountry Hunters & Anglers,Badminton Club,Ballroom Dance Club,Beats,Bhangra Club,Billiards Club,Blood Club of UBCO,Canadian Students for Sensible Drug Policy (CSSDP),Chinese Students and Scholars Association,Concrete Toboggan Club (GNCTR),Cricket Club,Debate Society,Design Club,Enactus UBCO,Filipino Student Association,Formula 1 Club,Games Club,Global Brigades Club,Golden Key International Honour Society,Golf Club,Hong Kong Student Club,Hope Club UBCO,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,"Innovate, Design, Sustain Club",International Relations Student Association,iSoto (Indonesian Students of the Okanagan),Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Latin American Student Organization,Medieval Club,Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Mountain Riders Club,Muslim Students Association,MySmallHelp UBCO,Nepalese Scholars' Association,Nourishing Futures,Pakistan Students Association,Photography Association,Pink Backpack Club,Power to Change,Pre-Dental Society,Pre-Law Society,Pre-Med Club,Punjabi Student Association,Rock N Roll Club,South Asian Students Association,South East Asian Club,Students for Healthy Alternatives and Risk Prevention (SHARP),Thai Erawan Club,UNICEF,University Christian Ministries,Urban Dance Club,Video Game Development Club,Web Development Club,Yoga Club,Young Greens of UBCO,Chemistry Course Union (CCU),Computer Science Course Union,Engineering Society at UBC,Environmental Chemistry Course Union,Geography Course Union,Human Kinetics Student Association,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Human Resources Club,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Psychology Course Union,Quantitative Sciences Course Union,Visual Arts Course Union,Age Link,Bangladeshi Students (ABS),BC Young Liberals,Bible Discussion Club,Christina Noble Foundation UBCO,French Club,Girls in Tech,Heatwave Radio,Indian Culture and Dance Club,It's Lit! Club,Kelowna Ismaili Student Association,Model United Nations Club,NDP Club,Persian Students' Club,Relay for Life Club,Sex Positivity Club,Sisu UBCO,Sport Programming Club,StockX Club,Student Independent Research Club,Varsity Outdoor Club Okanagan,Weightlifting Club UBCO,Wildlife Society UBCO Student Chapter,Women in Engineering,Biochemistry Course Union,Earth and Environmental Sciences Course Union,Management Student Association - Accounting Club,Management Student Association - Entrepreneur Club,Management Student Association - Marketing Club,Nursing Course Union,Social Work Course Union,Asian Student Association,Esports Association,Vegan Club,Grow n Glow Club
"b'\xcd\xec\x9d\xa2\n\x1c\xea\x0e\xaa\xc6\xd2\xcd{_Mv\xd9JIj\x18\xfe/h\xb6,\xd3f\x1e\xea\xe00'",Badminton Club,Blood Club of UBCO,Concrete Toboggan Club (GNCTR),Golf Club,Hong Kong Student Club,Horror Movie Club,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Power to Change,Relay for Life Club,Sisu UBCO,South East Asian Club,UNICEF,Urban Dance Club,Video Game Development Club,Engineering Society at UBC,Geography Course Union,Microbiology Course Union,"Philosophy, Politics, and Economics (PPE) Course Union",Amnesty International UBCO,Ballroom Dance Club,Chinese Students and Scholars Association,Design Club,Formula 1 Club,Ice Cream Club,iGEM UBCO,Japanese Culture Club,Medieval Club,MySmallHelp UBCO,Photography Association,Pink Backpack Club,Punjabi Student Association,University Christian Ministries,Chemistry Course Union (CCU),Aerospace Club,Filipino Student Association,Hope Club UBCO,"Innovate, Design, Sustain Club",It's Lit! Club,Jack.org UBCO Chapter,JDC West,NDP Club,Rock N Roll Club,Earth and Environmental Sciences Course Union,Human Kinetics Student Association,Management Student Association - Accounting Club,Management Student Association - Consulting Club,Social Work Course Union,Visual Arts Course Union,Bangladeshi Students (ABS),BC Young Liberals,Billiards Club,Canadian Students for Sensible Drug Policy (CSSDP),French Club,Golden Key International Honour Society,Indian Culture and Dance Club,Mental Health Awareness and Advocacy Club (MHAAC),Model United Nations Club,Motorsports Club,Muslim Students Association,Nepalese Scholars' Association,Sex Positivity Club,Sport Programming Club,Thai Erawan Club,Wildlife Society UBCO Student Chapter,Yoga Club,Biochemistry Course Union,Management Student Association - Human Resources Club,Quantitative Sciences Course Union,African Caribbean Student Club,Age Link,Debate Society,Girls in Tech,Kelowna Ismaili Student Association,Mountain Riders Club,Nourishing Futures,Students for Healthy Alternatives and Risk Prevention (SHARP),Vegan Club,Environmental Chemistry Course Union,Management Student Association - Marketing Club,Psychology Course Union,Asian Student Association,Backcountry Hunters & Anglers,Beats,Bible Discussion Club,Pre-Dental Society,Pre-Law Society,Pre-Med Club,South Asian Students Association,Web Development Club,Weightlifting Club UBCO,Young Greens of UBCO,Management Student Association (MSA),Astronomy Club,Grow n Glow Club,Latin American Student Organization,Women in Engineering,Computer Science Course Union,Cricket Club,Games Club,Heatwave Radio,StockX Club,Enactus UBCO,Global Brigades Club,Persian Students' Club,Management Student Association - Entrepreneur Club,Esports Association,International Relations Student Association,Pakistan Students Association,Student Independent Research Club,Varsity Outdoor Club Okanagan,Bhangra Club,Christina Noble Foundation UBCO,Nursing Course Union
b'\xa5\xbaI\xc1n\xaa*B\x8fE\\`\x9e4\xce\x8a\xb5\xc6m\xac\xa1\x1cJ\x1e\xffO\x15\x1cqQ\xedW',Aerospace Club,Age Link,Formula 1 Club,Golf Club,Horror Movie Club,Ice Cream Club,iGEM UBCO,Inclusive Men's Health Partnership,iSoto (Indonesian Students of the Okanagan),Mental Health Awareness and Advocacy Club (MHAAC),Motorsports Club,Photography Association,Punjabi Student Association,UNICEF,Urban Dance Club,Video Game Development Club,Yoga Club,Young Greens of UBCO,Biochemistry Course Union,Chemistry Course Union (CCU),Engineering Society at UBC,Microbiology Course Union,Quantitative Sciences Course Union,Social Work Course Union,Backcountry Hunters & Anglers,Badminton Club,Billiards Club,Blood Club of UBCO,Design Club,Filipino Student Association,Hope Club UBCO,"Innovate, Design, Sustain Club",Jack.org UBCO Chapter,Japanese Culture Club,JDC West,Latin American Student Organization,Pink Backpack Club,Power to Change,Pre-Law Society,Sex Positivity Club,Sisu UBCO,Sport Programming Club,Student Independent Research Club,Thai Erawan Club,Vegan Club,Women in Engineering,Computer Science Course Union,Earth and Environmental Sciences Course Union,Environmental Chemistry Course Union,Management Student Association - Accounting Club,Psychology Course Union,Visual Arts Course Union,Amnesty International UBCO,Bangladeshi Students (ABS),Beats,Bible Discussion Club,Chinese Students and Scholars Association,Debate Society,Golden Key International Honour Society,Grow n Glow Club,Indian Culture and Dance Club,Kelowna Ismaili Student Association,Model United Nations Club,MySmallHelp UBCO,NDP Club,Nourishing Futures,South East Asian Club,University Christian Ministries,Weightlifting Club UBCO,Geography Course Union,Human Kinetics Student Association,African Caribbean Student Club,Ballroom Dance Club,Canadian Students for Sensible Drug Policy (CSSDP),Concrete Toboggan Club (GNCTR),Enactus UBCO,Esports Association,Global Brigades Club,Hong Kong Student Club,It's Lit! Club,Medieval Club,Mountain Riders Club,Nepalese Scholars' Association,Pakistan Students Association,Pre-Dental Society,Relay for Life Club,Web Development Club,Management Student Association - Entrepreneur Club,"Philosophy, Politics, and Economics (PPE) Course Union",Bhangra Club,Heatwave Radio,International Relations Student Association,Persian Students' Club,Rock N Roll Club,South Asian Students Association,StockX Club,Management Student Association (MSA),Management Student Association - Consulting Club,Management Student Association - Marketing Club,Nursing Course Union,French Club,Muslim Students Association,Christina Noble Foundation UBCO,Students for Healthy Alternatives and Risk Prevention (SHARP),Wildlife Society UBCO Student Chapter,Asian Student Association,Astronomy Club,Games Club,Girls in Tech,Varsity Outdoor Club Okanagan,BC Young Liberals,Cricket Club,Pre-Med Club,Management Student Association - Human Resources Club
